feature,importance
Agent_Rating,0.24970819939902036
Distance_Traffic_Interaction,0.23686789146502094
Weather_Severity,0.1590172280038942
Agent_Age,0.11804413394036892
Weather_Distance_Interaction,0.09651334693196
Traffic_Severity,0.05251404412265025
Distance_km,0.03180530702130164
Vehicle_Speed_Factor,0.021844710301897607
Agent_Performance_Score,0.018804513005002087
Area_Density,0.00716710090036944
Order_Hour,0.0036389588802077356
Preparation_Time,0.0027545129909197475
Is_Weekend,0.0008127494664222819
Is_Peak_Hour,0.0004725414605160067
Is_Long_Distance,3.4762110448866426e-05
